,GeneID,Obs.Log.Mean,Mean.log10,Obs.Log.Std.Dev,log10.Std.Dev
255,YBR054W,1.455455965679799,0.626471042633057,0.2627723701248562,0.0425118284011986
256,YBR055C,1.1671121341915909,-0.799832701683044,0.0213340570479845,0.290273488157286
257,YBR056W,2.011297151948221,-0.0059742480516433,0.0185345159886855,0.102686077267106
258,YBR056W-A,2.617045898679431,-0.492503196001053,0.2720932305162493,0.396021417638271
259,YBR057C,1.4217234123621083,-0.726813495159149,0.1061755135880704,0.343024354915264
260,YBR058C,1.4368712432872777,-0.238757684826851,0.0289802719958684,0.140138745708627
261,YBR058C-A,2.3796521434764437,-0.674529433250427,0.0912183374256952,0.39631246964846
262,YBR059C,1.3010524758374664,-0.206885680556297,0.1330597365248685,0.0982543937729551
263,YBR060C,1.2562418223590683,-0.330778688192368,0.0017217347162619,0.185526565644901
264,YBR061C,1.6236890574775875,-0.369026511907578,0.0334137999439468,0.266330441403016
265,YBR062C,1.6692490085189329,-0.700257003307343,0.0618129130526322,0.36193987635427
266,YBR063C,1.2358698558265344,-0.860056519508362,0.1372229622535467,0.338159090675131
267,YBR065C,1.0564020031559211,-1.04161775112152,0.1219171403159638,0.339690294368308
268,YBR066C,1.5684545034363186,-0.733507215976715,0.2483546810375984,0.35778352545152
269,YBR067C,2.7004953763380115,0.649220645427704,0.0861129832650752,0.0512983763250226
270,YBR068C,2.360460143350565,-0.0751271843910217,0.1234736185370199,0.0973423777555486
271,YBR069C,1.8938117934371652,-0.054020993411541,0.169800671984239,0.0935653019500188
272,YBR070C,1.419799090257502,-0.799486219882965,0.0569694155981393,0.352074991311711
273,YBR071W,1.5449323065458331,-0.420478969812393,0.0643618572327643,0.328827967807971
274,YBR072C-A,,-0.497675478458405,,0.399837409442867
275,YBR072W,1.3608215417879617,0.482979416847229,0.1505408194850169,0.0637319452592295
276,YBR073W,0.8571247950752724,-0.569466173648834,0.1260958732243514,0.229321412198442
277,YBR074W,1.5058825609652218,-0.578047215938568,0.0416543980081737,0.233812881951733
278,YBR076W,0.51759118046564,-0.618318736553192,0.108389242349703,0.319530859203146
279,YBR077C,1.855415730235964,-0.578211843967438,0.0545622024498962,0.372416077799377
280,YBR078W,2.8451525746621,0.846067249774933,0.0657886763649329,0.0336092243760927
